"HIGHLIGHT_Highlights";"HE - Highlights"
"HIGHLIGHT_Date start";"Date start"
"HIGHLIGHT_Date finish";"Expiration date"
"HIGHLIGHT_Options";"Options"
"HIGHLIGHT_view";"view"
"HIGHLIGHT_Profile Views:";"Profile Views:"
"HIGHLIGHT_Friends:";"Friends:"
"HIGHLIGHT_Last Update:";"Last Update:"
"HIGHLIGHT_Joined:";"Joined:"
"HIGHLIGHT_views";"views"
"HIGHLIGHT_Added to highlight list";"Added to highlight list"
"HIGHLIGHT_Removed from highlight list";"Removed from highlight list"
"HIGHLIGHT_No users found!";"No user found"
"HIGHLIGHT_Your changes have been saved.";"Your changes have been saved."
"HIGHLIGHT_Not enough credits to buy highlight.";"Not enough credits to purchase highlight."
"HIGHLIGHT_You successfully joined to highlight list";"You have been successfully added to highlight list"
"HIGHLIGHT_You are already in highlight list";"You are already in list of highlighted members"
"HIGHLIGHT_Member Level Settings";"Member Level Settings"
"HIGHLIGHT_Configure member level settings who can buy highlight profile";"These settings are applied on a per member level basis. Start by selecting the member level you want to modify, then adjust the settings for that level below."
"HIGHLIGHT_Can buy highlight profile";"Allow members to pay using credits to be highlighted"
"HIGHLIGHT_Yes";"Yes"
"HIGHLIGHT_No";"No"
"HIGHLIGHT_Save changes";"Save changes"
"HIGHLIGHT_Add fields that will be shown on highlight profile widgets";"Below you can add fields that will be displayed in details of users in Higlighted Members widget. The fields are displayed in one-line and separated by commas."
"HIGHLIGHT_Configure Profile highlight settings";"Configure Settings"
"HIGHLIGHT_Configure Profile highlight settings cost and number of days";"If you have <a href='http://www.hire-experts.com/social-engine/credits-plugin'>Credits plugin</a> then you can allow your members to pay using credits to be highlighted. Please just set the cost in credits and duration in days, for example, 50 credits to be highlighted 7 days."
"HIGHLIGHT_Number of days";"Number of days"
"HIGHLIGHT_Cost";"Cost in credits"
"HIGHLIGHT_Credit";"Credit"
"HIGHLIGHT_Date";"Date"
"HIGHLIGHT_Nobody has bought highlight!";"Nobody has paid to be highlighted using credits"
"HIGHLIGHT_Please install or enable Credits plugin. You can buy this plugin";"To enable this particluar feature you have to install or enable Credits plugin"
"HIGHLIGHT_Are you sure that you want to delete this user from highlight?";"Are you sure you want to remove this particular user from list of highlight"
"HIGHLIGHT_Delete User from highlight";"Delete User from highlight"
"HIGHLIGHT_Confirm & Proceed";"Confirm & Proceed"
"HIGHLIGHT_Highlight my profile?";"Highlight my profile?"
"HIGHLIGHT_You can highlight your profile and display your photo and details to whole network.";"You can highlight your profile and display your photo and details to entire network."
"HIGHLIGHT_credits";"credits"
"HIGHLIGHT_days";"days"
"HIGHLIGHT_Add Me Here";"Add Me Here"
"HIGHLIGHT_Date finish changed";"Expiration date has been changed"
"HIGHLIGHT_Edit date finish";"Change expiration date"
"HIGHLIGHT_Edit date finish of highlight";"Edit expiration date of highlight"
"HIGHLIGHT_Add fields that will be shown on highlight profile widgets";"Below you can add fields that will be displayed in members details in Higlight Members widget."
"HIGHLIGHT_years";" years"
"HIGHLIGHT_User info show";"Member Fields"
"HIGHLIGHT_In this category are no tips!";"There are no fields"
"HIGHLIGHT_Highlight Settings";"Highlight Settings"
"HIGHLIGHT_User highlights";"Members"
"HIGHLIGHT_Save";"Save"
"HIGHLIGHT_Display Name";"Display Name"
"HIGHLIGHT_Email";"Email"
"HIGHLIGHT_Level";"Level"
"HIGHLIGHT_Highlight";"Highlight"
"HIGHLIGHT_Highlighted";"Highlighted"
"HIGHLIGHT_Search";"Search"
"HIGHLIGHT_admin_settings";""
"HIGHLIGHT_users_list";"Browse members and click on icon to highlight the members. You can remove members from the highlighted members list or edit expiration date for them."
"HIGHLIGHT_admin_level";""
"HIGHLIGHT_Number of users";"Number of users"
"HIGHLIGHT_Number of users in vertical widget";"Number of users in vertical widget"
"HIGHLIGHT_Highlighted Members";"Highlighted Members"
"HIGHLIGHT_Highlighted Members sidebar";"Highlighted Members Sidebar"
"HIGHLIGHT_disabled";"Disabled"
"HIGHLIGHT_Highlighted Vertical";"Highlighted Members"
"HIGHLIGHT_for";"for"
