"Welcome Usernotes Plugin";"Welcome Usernotes Plugin"
"Browse your site users and leave notes on wished users.";"Browse your site users and leave notes on wished users."
"ID";"ID"
"Display Name";"Display Name"
"Username";"Username"
"Email";"Email"
"User Level";"User Level"
"Note";"Note"
"Options";"Options"
"Edit";"Edit"
"Delete";"Delete"
"Leave Note";"Leave Note"
"Save";"Save"
"Cancel";"Cancel"
"Delete Note";"Delete Note"
"Leave your note about this user below:";"Leave your note about this user below:"
"Are you sure you want to delete this note?";"Are you sure you want to delete this note?"
"Save Settings";"Save Settings"


"Member Level";"Member Level"
"Allow User Notes";"Allow User Notes"
"Allow this user level to leave notes about users?";"Allow this user level to leave notes about users?"
"Yes, allow";"Yes, allow"
"No, not allow";"No, not allow"
"Save Settings";"Save Settings"
"These settings are applied on a per member level basis. Start by selecting the member level you want to modify, then adjust the settings for that level below.";"These settings are applied on a per member level basis. Start by selecting the member level you want to modify, then adjust the settings for that level below."

"Your Note saved";"Your Note saved"
"Your note has been deleted.";"Your note has been deleted."
"Failed. Please check and try again later.";"Failed. Please check and try again later."

"Your Notes";"Your Notes"
"List of Your Notes";"List of Your Notes"
"Event";"Event"
"Edit Note";"Edit Note"
"You do not have any notes.";"You do not have any notes."
"&#171; Previous";"&#171; Previous"
"Next &#187;";"Next &#187;"

"With Usernote";"With Usernote"
"Without Usernote";"Without Usernote"

"Some error";"Some error"
"Note about this user";"Note about this user"
"Member Level Settings";"Member Level Settings"
"Please type your note";"Please type your note"
"My note about %s";"My note about %s"
"HE - Usernotes";"HE - Usernotes"
